# ATENCAO: todos os fluxos deste arquivo sao SUPOSICOES; nao sao dados reais da Amanda nem das empresas citadas.
# O caso central reaproveita tickets, cadencias e dispersoes sinteticas de motor/arquetipos.py.
# Os casos baixo e alto aplicam 0,5x e 2,0x ao volume central; esses multiplicadores nao vieram de dados observados.
# Wise, Nomad, AstroPay e BCB sao referencias publicas de escala, nao fontes do fluxo projetado.
# Cada Ordem continua sendo a posicao liquida que o cliente decidiu enviar; nao ha autonetting adicional.
cenario_custo,nome_mix,n_clientes,janela_dias,horizonte_dias,cenario_fluxo,descricao_custo,descricao_fluxo,multiplicador_fluxo,natureza_do_fluxo,n_sementes,volume_anual_central_brl_p10,volume_anual_central_brl_p50,volume_anual_central_brl_p90,volume_anual_assumido_brl_p10,volume_anual_assumido_brl_p50,volume_anual_assumido_brl_p90,economia_bps_escala_assumida_p10,economia_bps_escala_assumida_p50,economia_bps_escala_assumida_p90,economia_anual_assumida_brl_p10,economia_anual_assumida_brl_p50,economia_anual_assumida_brl_p90,fracao_economia_positiva
iof_incerto_zero,equilibrado,8,1,365,alto_2_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,54.258497,63.848886,73.349457,3489954.572394,4253926.248582,5085869.152944,1.000000
piso_sem_componentes_incertos,equilibrado,8,1,365,baixo_0_5x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,34.113786,43.047239,52.480520,554369.508429,722713.680099,902862.143728,1.000000
piso_sem_componentes_incertos,equilibrado,8,1,365,central_1_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,34.113786,43.047239,52.480520,1108739.016858,1445427.360197,1805724.287455,1.000000
piso_sem_componentes_incertos,equilibrado,8,1,365,alto_2_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,34.113786,43.047239,52.480520,2217478.033716,2890854.720394,3611448.574911,1.000000
carry_25bps,equilibrado,8,1,365,baixo_0_5x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.","Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,99.785467,110.568776,120.097419,1577104.214252,1838330.391018,2134062.445330,1.000000
carry_25bps,equilibrado,8,1,365,central_1_0x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,98.732808,109.514045,119.107354,3120928.436481,3641180.779201,4231444.874625,1.000000
carry_25bps,equilibrado,8,1,365,alto_2_0x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.","Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,98.206479,108.995971,118.551492,6208576.880939,7246881.555565,8426209.733214,1.000000
combinado_severo,equilibrado,8,1,365,baixo_0_5x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,17.650649,26.645828,35.924088,289710.369647,441827.950173,612128.741074,1.000000
combinado_severo,equilibrado,8,1,365,central_1_0x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,17.650649,26.645828,35.924088,579420.739294,883655.900345,1224257.482148,1.000000
combinado_severo,equilibrado,8,1,365,alto_2_0x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,17.650649,26.645828,35.924088,1158841.478589,1767311.800691,2448514.964296,1.000000
sem_carry,equilibrado,8,1,365,baixo_0_5x,Limite superior simples: retira o custo de carry e mantem o restante na base.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,118.804148,130.275776,141.034234,1867755.361568,2173356.776006,2500467.921346,1.000000
sem_carry,equilibrado,8,1,365,central_1_0x,Limite superior simples: retira o custo de carry e mantem o restante na base.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,117.766719,129.294448,139.919219,3700891.326125,4311433.560566,4965855.826401,1.000000
sem_carry,equilibrado,8,1,365,alto_2_0x,Limite superior simples: retira o custo de carry e mantem o restante na base.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,117.228394,128.789360,139.412324,7367634.027631,8585716.953160,9896631.636512,1.000000
base_hipotetica,equilibrado,8,7,365,baixo_0_5x,Hipoteses atuais do modelo; ainda nao calibradas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,117.843224,128.846874,139.262382,1848102.798117,2142015.034212,2463124.929961,1.000000
base_hipotetica,equilibrado,8,7,365,central_1_0x,Hipoteses atuais do modelo; ainda nao calibradas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,116.754075,127.617196,138.138598,3660125.594568,4247470.059551,4890449.864851,1.000000
base_hipotetica,equilibrado,8,7,365,alto_2_0x,Hipoteses atuais do modelo; ainda nao calibradas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,116.243088,127.100255,137.611623,7284171.187468,8458380.110230,9745099.734631,1.000000
sem_spread,equilibrado,8,7,365,baixo_0_5x,Retira integralmente o spread evitado.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,98.446923,108.657510,118.067055,1553911.788202,1805376.528210,2095803.403822,1.000000
sem_spread,equilibrado,8,7,365,central_1_0x,Retira integralmente o spread evitado.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,97.433979,107.527241,116.928256,3072981.711447,3574873.040544,4155326.801352,1.000000
sem_spread,equilibrado,8,7,365,alto_2_0x,Retira integralmente o spread evitado.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,96.964952,107.013723,116.358857,6111923.429425,7113866.065214,8274373.596412,1.000000
sem_tarifa_fixa,equilibrado,8,7,365,baixo_0_5x,Retira integralmente a tarifa fixa evitada.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,115.732115,126.621195,137.117250,1812022.911728,2105455.307896,2427324.667029,1.000000
sem_tarifa_fixa,equilibrado,8,7,365,central_1_0x,Retira integralmente a tarifa fixa evitada.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,115.732115,126.621195,137.117250,3624045.823455,4210910.615791,4854649.334058,1.000000
sem_tarifa_fixa,equilibrado,8,7,365,alto_2_0x,Retira integralmente a tarifa fixa evitada.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,115.732115,126.621195,137.117250,7248091.646910,8421821.231582,9709298.668117,1.000000
iof_incerto_zero,equilibrado,8,7,365,baixo_0_5x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,55.949678,65.068033,74.763981,897866.858755,1091062.073183,1297601.794847,1.000000
iof_incerto_zero,equilibrado,8,7,365,central_1_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,54.820401,64.040339,73.752345,1760213.705323,2146724.131348,2556563.601705,1.000000
iof_incerto_zero,equilibrado,8,7,365,alto_2_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,54.271462,63.526492,73.226425,3484907.398459,4258048.247677,5074487.215421,1.000000
piso_sem_componentes_incertos,equilibrado,8,7,365,baixo_0_5x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,34.071655,42.487244,52.058266,548944.270622,717783.633969,892637.127678,1.000000
piso_sem_componentes_incertos,equilibrado,8,7,365,central_1_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,34.071655,42.487244,52.058266,1097888.541244,1435567.267938,1785274.255355,1.000000
piso_sem_componentes_incertos,equilibrado,8,7,365,alto_2_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,34.071655,42.487244,52.058266,2195777.082489,2871134.535876,3570548.510710,1.000000
carry_25bps,equilibrado,8,7,365,baixo_0_5x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.","Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,101.807859,111.873498,121.442275,1599543.072560,1858555.284789,2158213.534226,1.000000
carry_25bps,equilibrado,8,7,365,central_1_0x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,100.702189,110.799913,120.303476,3164606.154597,3681830.577558,4279211.461857,1.000000
carry_25bps,equilibrado,8,7,365,alto_2_0x,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.","Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,100.153192,110.263121,119.734077,6294732.318671,7328381.163096,8519942.908459,1.000000
combinado_severo,equilibrado,8,7,365,baixo_0_5x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,17.371510,25.710804,35.286571,282174.252996,434301.528299,596136.369196,1.000000
combinado_severo,equilibrado,8,7,365,central_1_0x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,17.371510,25.710804,35.286571,564348.505992,868603.056598,1192272.738393,1.000000
combinado_severo,equilibrado,8,7,365,alto_2_0x,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,17.371510,25.710804,35.286571,1128697.011984,1737206.113196,2384545.476785,1.000000
sem_carry,equilibrado,8,7,365,baixo_0_5x,Limite superior simples: retira o custo de carry e mantem o restante na base.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,153065604.930000,166341163.730000,181855731.850000,120.972309,132.056337,142.700834,1896639.717748,2193810.788046,2521203.291053,1.000000
sem_carry,equilibrado,8,7,365,central_1_0x,Limite superior simples: retira o custo de carry e mantem o restante na base.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,306131209.860000,332682327.460000,363711463.700000,119.950335,130.949032,141.587474,3758799.444973,4352061.586996,5006606.587036,1.000000
sem_carry,equilibrado,8,7,365,alto_2_0x,Limite superior simples: retira o custo de carry e mantem o restante na base.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,306131209.860000,332682327.460000,363711463.700000,612262419.720000,665364654.920000,727422927.400000,119.439348,130.352711,141.093087,7483118.899423,8668563.184895,9977413.179001,1.000000
base_hipotetica,equilibrado,12,1,365,baixo_0_5x,Hipoteses atuais do modelo; ainda nao calibradas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,217483250.370000,235275388.250000,252126881.430000,113.226911,124.426218,135.208311,2568341.433825,2910250.848673,3295635.230553,1.000000
base_hipotetica,equilibrado,12,1,365,central_1_0x,Hipoteses atuais do modelo; ainda nao calibradas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,434966500.740000,470550776.500000,504253762.860000,111.984793,123.143135,133.944207,5080202.858998,5761861.717787,6531470.474070,1.000000
base_hipotetica,equilibrado,12,1,365,alto_2_0x,Hipoteses atuais do modelo; ainda nao calibradas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,869933001.480000,941101553.000000,1008507525.720000,111.363734,122.525928,133.347661,10103925.709346,11465083.456014,13003140.961104,1.000000
sem_spread,equilibrado,12,1,365,baixo_0_5x,Retira integralmente o spread evitado.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,217483250.370000,235275388.250000,252126881.430000,93.396936,103.946950,113.388549,2133450.993787,2430287.611173,2753882.669008,1.000000
sem_spread,equilibrado,12,1,365,central_1_0x,Retira integralmente o spread evitado.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,434966500.740000,470550776.500000,504253762.860000,92.085357,102.712535,112.195457,4204581.985018,4800845.641184,5447005.349664,1.000000
sem_spread,equilibrado,12,1,365,alto_2_0x,Retira integralmente o spread evitado.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,869933001.480000,941101553.000000,1008507525.720000,91.491008,102.095328,111.598911,8346843.967480,9543251.276931,10833250.710974,1.000000
sem_tarifa_fixa,equilibrado,12,1,365,baixo_0_5x,Retira integralmente a tarifa fixa evitada.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,217483250.370000,235275388.250000,252126881.430000,110.742673,121.908735,132.751127,2511861.664405,2851611.009534,3235834.924688,1.000000
sem_tarifa_fixa,equilibrado,12,1,365,central_1_0x,Retira integralmente a tarifa fixa evitada.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,434966500.740000,470550776.500000,504253762.860000,110.742673,121.908735,132.751127,5023723.328810,5703222.019069,6471669.849376,1.000000
sem_tarifa_fixa,equilibrado,12,1,365,alto_2_0x,Retira integralmente a tarifa fixa evitada.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,869933001.480000,941101553.000000,1008507525.720000,110.742673,121.908735,132.751127,10047446.657621,11406444.038137,12943339.698751,1.000000
iof_incerto_zero,equilibrado,12,1,365,baixo_0_5x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,217483250.370000,235275388.250000,252126881.430000,70.619203,80.571308,91.031489,1605359.235279,1899354.334821,2198839.680325,1.000000
iof_incerto_zero,equilibrado,12,1,365,central_1_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,434966500.740000,470550776.500000,504253762.860000,69.417729,79.246898,89.827991,3153115.101370,3740894.278037,4337399.352091,1.000000
iof_incerto_zero,equilibrado,12,1,365,alto_2_0x,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,"Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,869933001.480000,941101553.000000,1008507525.720000,68.804329,78.584693,89.226242,6251350.203178,7422625.890744,8614518.695621,1.000000
piso_sem_componentes_incertos,equilibrado,12,1,365,baixo_0_5x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Metade do volume sintetico central; faixa de incerteza, nao dado observado.",0.500000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,217483250.370000,235275388.250000,252126881.430000,48.049112,57.591022,67.480036,1112195.565078,1358974.204928,1629663.822732,1.000000
piso_sem_componentes_incertos,equilibrado,12,1,365,central_1_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",Volume produzido pelas hipoteses atuais de ticket e cadencia dos arquetipos.,1.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,434966500.740000,470550776.500000,504253762.860000,48.049112,57.591022,67.480036,2224391.130156,2717948.409855,3259327.645463,1.000000
piso_sem_componentes_incertos,equilibrado,12,1,365,alto_2_0x,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.","Duas vezes o volume sintetico central; faixa de incerteza, nao dado observado.",2.000000,SUPOSICAO SINTETICA; NAO E DADO REAL,300,434966500.740000,470550776.500000,504253762.860000,869933001.480000,941101553.000000,1008507525.720000,48.049112,57.591022,67.480036,4448782.260313,5435896.819710,6518655.290927,1.000000
